ID,Outcome,Feature1,Feature2
Node_0,0,0.9695846277645586,0.9082658859666537
Node_1,1,0.7751328233611146,0.23956189066697242
Node_2,0,0.9394989415641891,0.1448948720912231
Node_3,0,0.8948273504276488,0.489452760277563
Node_4,0,0.5978999788110851,0.9856504541106007
Node_5,1,0.9218742350231168,0.2420552715115004
Node_6,0,0.0884925020519195,0.6721355474058786
Node_7,0,0.1959828624191452,0.7616196153287176
Node_8,0,0.045227288910538066,0.23763754399239967
Node_9,1,0.32533033076326434,0.7282163486118596
Node_10,0,0.388677289689482,0.3677831327192532
Node_11,0,0.2713490317738959,0.6323058305935795
Node_12,0,0.8287375091519293,0.6335297107608947
Node_13,0,0.3567533266935893,0.5357746840747585
Node_14,1,0.28093450968738076,0.0902897700544083
Node_15,0,0.5426960831582485,0.835302495589238
Node_16,1,0.14092422497476265,0.32078006497173583
Node_17,1,0.8021969807540397,0.18651851039985423
Node_18,1,0.07455064367977082,0.040775141554763916
Node_19,0,0.9868869366005173,0.5908929431882418
Node_20,1,0.7722447692966574,0.6775643618422824
Node_21,0,0.1987156815341724,0.016587828927856152
Node_22,1,0.005522117123602399,0.512093058299281
Node_23,1,0.8154614284548342,0.22649577519793795
Node_24,1,0.7068573438476171,0.6451727904094499
Node_25,1,0.7290071680409873,0.17436642900499144
Node_26,1,0.7712703466859457,0.690937738102466
Node_27,1,0.07404465173409036,0.3867353463005374
Node_28,1,0.3584657285442726,0.9367299887367345
Node_29,1,0.11586905952512971,0.13752094414599325
Node_30,0,0.8631034258755935,0.3410663510502585
Node_31,0,0.6232981268275579,0.11347352124058907
Node_32,1,0.3308980248526492,0.9246936182785628
Node_33,1,0.06355835028602363,0.877339353380981
Node_34,1,0.3109823217156622,0.2579416277151556
Node_35,0,0.32518332202674705,0.659984046034179
Node_36,1,0.7296061783380641,0.8172222002012158
Node_37,0,0.6375574713552131,0.5552008115994623
Node_38,0,0.8872127425763265,0.5296505783560065
Node_39,0,0.4722149251619493,0.24185229090045168
Node_40,0,0.1195942459383017,0.09310276780589921
Node_41,0,0.713244787222995,0.8972157579533268
Node_42,1,0.7607850486168974,0.9004180571633305
Node_43,1,0.5612771975694962,0.6331014572732679
Node_44,1,0.770967179954561,0.3390297910487007
Node_45,1,0.49379559636439074,0.3492095746126609
Node_46,1,0.5227328293819941,0.7259556788702394
Node_47,0,0.42754101835854963,0.8971102599525771
Node_48,1,0.02541912674409519,0.8870864242651173
Node_49,1,0.10789142699330445,0.7798755458576239
Node_50,0,0.03142918568673425,0.6420316461542878
Node_51,1,0.6364104112637804,0.08413996499504883
Node_52,0,0.3143559810763267,0.16162871409461377
Node_53,1,0.5085706911647028,0.8985541885270792
Node_54,0,0.907566473926093,0.6064290596595899
Node_55,1,0.24929222914887494,0.009197051616629648
Node_56,1,0.41038292303562973,0.1014715428660321
Node_57,0,0.7555511385430487,0.6635017691080558
Node_58,0,0.22879816549162246,0.005061583846218687
Node_59,0,0.07697990982879299,0.16080805141749865
Node_60,0,0.289751452913768,0.5487337893665861
Node_61,0,0.16122128725400442,0.6918951976926933
Node_62,0,0.9296976523425731,0.6519612595026005
Node_63,0,0.808120379564417,0.22426930946055978
Node_64,0,0.6334037565104235,0.7121792213475359
Node_65,1,0.8714605901877177,0.23724908749680007
Node_66,1,0.8036720768991145,0.3253996981592677
Node_67,0,0.18657005888603584,0.7464914051180241
Node_68,1,0.8925589984899778,0.6496328990472147
Node_69,1,0.5393422419156507,0.8492234104941779
Node_70,1,0.8074401551640625,0.6576128923003434
Node_71,1,0.8960912999234932,0.5683086033354716
Node_72,0,0.3180034749718639,0.09367476782809248
Node_73,1,0.11005192452767676,0.3677158030594335
Node_74,0,0.22793516254194168,0.26520236768172545
Node_75,1,0.4271077886262563,0.24398964337908358
Node_76,1,0.8180147659224931,0.9730105547524456
Node_77,1,0.8607305832563434,0.3930977246667604
Node_78,0,0.006952130531190703,0.8920465551771133
Node_79,1,0.5107473025775657,0.6311386259972629
Node_80,0,0.417411003148779,0.7948113035416484
Node_81,1,0.22210781047073025,0.5026370931051921
Node_82,0,0.1198653673336828,0.5769038846263591
Node_83,1,0.33761517140362796,0.4925176938188639
Node_84,0,0.9429097039125192,0.1952429877980445
Node_85,0,0.32320293202075523,0.7224521152615053
Node_86,1,0.5187906217433661,0.2807723624408558
Node_87,0,0.7030189588951778,0.02431596643145384
Node_88,1,0.363629602379294,0.6454722959071678
Node_89,1,0.9717820827209607,0.17711067940704894
Node_90,1,0.9624472949421112,0.9404585843529143
Node_91,1,0.25178229582536416,0.9539285770025874
Node_92,1,0.49724850589238545,0.9148643902204485
Node_93,1,0.30087830981676966,0.3701587002554444
Node_94,1,0.2848404943774676,0.015456616528867428
Node_95,1,0.036886947354532795,0.9283185625877254
Node_96,1,0.6095643339798968,0.42818414831731433
Node_97,1,0.5026790232288615,0.9666548190436696
Node_98,1,0.05147875124998935,0.9636199770892528
Node_99,0,0.27864646423661144,0.8530094554673601
