SourceID,TargetID,Weight
Node_62,Node_18,0.7533781852589416
Node_84,Node_57,0.37625958553091576
Node_31,Node_95,0.08350071669866876
Node_86,Node_0,0.7771469159274368
Node_32,Node_68,0.558404249735805
Node_66,Node_3,0.4242220092469763
Node_17,Node_15,0.906354385094736
Node_24,Node_23,0.11119748230615134
Node_94,Node_79,0.49262510429085915
Node_53,Node_1,0.011353644767419069
Node_57,Node_91,0.46866064199412627
Node_66,Node_31,0.05630327568183735
Node_45,Node_90,0.11881791626807192
Node_23,Node_83,0.11752624677710488
Node_31,Node_23,0.6492103021160636
Node_46,Node_11,0.7460448792654233
Node_85,Node_49,0.5833687650971596
Node_22,Node_34,0.9621725484745419
Node_65,Node_32,0.37487057952370406
Node_26,Node_32,0.28571208628186073
Node_1,Node_60,0.8685991281894603
Node_89,Node_50,0.22359583851945264
Node_16,Node_42,0.9632225394406113
Node_32,Node_11,0.012154474689816341
Node_8,Node_66,0.969878826707639
Node_42,Node_64,0.04315991195057611
Node_47,Node_32,0.8911431136980711
Node_38,Node_39,0.5277011090862999
Node_92,Node_73,0.9929647961193003
Node_41,Node_42,0.07379656473539886
Node_25,Node_43,0.5538542844013208
Node_98,Node_28,0.969302535619099
Node_49,Node_12,0.5230978441701488
Node_24,Node_11,0.6293986381352625
Node_23,Node_94,0.6957486889846172
Node_12,Node_45,0.45454106476777323
Node_59,Node_1,0.6275580800840634
Node_6,Node_34,0.5843143119231002
Node_56,Node_86,0.901158010490989
Node_35,Node_80,0.04544638034145787
Node_44,Node_89,0.2809631895922303
Node_19,Node_7,0.9504114840765587
Node_64,Node_92,0.8902637838909163
Node_7,Node_25,0.45565675278571294
Node_15,Node_73,0.6201325978015367
Node_13,Node_89,0.2773811829811327
Node_75,Node_33,0.1881211597237613
Node_86,Node_6,0.46369840493998216
Node_14,Node_67,0.3533522280260528
Node_91,Node_57,0.5836561118508721
Node_97,Node_74,0.07773463696498484
Node_65,Node_28,0.9743948076661665
Node_31,Node_35,0.9862107444796029
Node_86,Node_88,0.6981617140197451
Node_62,Node_20,0.5360963663441204
Node_85,Node_35,0.30952761628632774
Node_50,Node_9,0.8137950197069487
Node_24,Node_72,0.6847311725538793
Node_57,Node_23,0.1626169393448913
Node_62,Node_63,0.9109271844938425
Node_61,Node_98,0.822537242923169
Node_21,Node_48,0.949799913291924
Node_57,Node_98,0.72571950838836
Node_57,Node_35,0.6134151959357899
Node_85,Node_81,0.4182430362906189
Node_48,Node_95,0.9327284833540133
Node_51,Node_23,0.8660638895004084
Node_41,Node_22,0.04521867010618941
Node_69,Node_61,0.026366974497252005
Node_14,Node_95,0.3764633668780496
Node_53,Node_36,0.8105533307818329
Node_59,Node_11,0.9872761293149445
Node_96,Node_54,0.15041689110352818
Node_7,Node_12,0.5941307153521351
Node_52,Node_22,0.3808908566310215
Node_59,Node_88,0.9699143978146032
Node_4,Node_98,0.8421189231357087
Node_67,Node_29,0.8383287047111379
Node_5,Node_16,0.4686931597949703
Node_95,Node_61,0.4148195023376652
Node_93,Node_83,0.27340707193070624
Node_46,Node_88,0.056375496650927115
Node_98,Node_85,0.8647223762550532
Node_54,Node_12,0.8129010091300776
Node_39,Node_58,0.9997176732861306
Node_51,Node_18,0.9966368370739054
Node_15,Node_48,0.5554317056026274
Node_12,Node_99,0.7689874151805105
Node_29,Node_11,0.944765729882428
Node_18,Node_60,0.8496473906774115
Node_16,Node_18,0.24734810174319766
Node_62,Node_75,0.4505441353100935
Node_18,Node_8,0.12915941515149498
Node_91,Node_70,0.9540510272587224
Node_57,Node_27,0.60617463445088
Node_54,Node_77,0.22864280550346272
Node_89,Node_94,0.6717006844058567
Node_89,Node_51,0.6181282404578958
Node_61,Node_82,0.3581627180328405
Node_22,Node_15,0.11355759219962902
Node_8,Node_68,0.6715731955927996
Node_11,Node_98,0.5203077009037933
Node_0,Node_11,0.7723183917356393
Node_57,Node_24,0.5201635011119934
Node_0,Node_51,0.8521815003185401
Node_33,Node_84,0.5519068387744855
Node_95,Node_99,0.5609379715353863
Node_47,Node_52,0.876653602658345
Node_88,Node_22,0.40348286621239704
Node_0,Node_15,0.13401522845064073
Node_15,Node_56,0.028782676313338973
Node_60,Node_38,0.755137255673619
Node_63,Node_52,0.6203095513534647
Node_62,Node_41,0.7040797680992236
Node_68,Node_57,0.21296416150891073
Node_21,Node_38,0.13637147558676976
Node_92,Node_13,0.014544665667881929
Node_66,Node_94,0.350587558806597
Node_75,Node_4,0.5899176868546331
Node_25,Node_34,0.3922440450997323
Node_15,Node_86,0.43747492202372906
Node_50,Node_92,0.9041586944937484
Node_85,Node_74,0.34825546702330035
Node_56,Node_17,0.5139894891598108
Node_28,Node_75,0.7836530127411431
Node_77,Node_8,0.39654278232127016
Node_91,Node_73,0.6220867002278735
Node_68,Node_57,0.8623637087467452
Node_46,Node_16,0.9495206236576421
Node_93,Node_6,0.14707348092903794
Node_61,Node_45,0.9265876251614944
Node_68,Node_12,0.4921162930795382
Node_75,Node_39,0.25824438829895835
Node_15,Node_41,0.4591357562382613
Node_89,Node_8,0.980032575285477
Node_89,Node_49,0.4926180939928696
Node_47,Node_26,0.3287516102875082
Node_84,Node_65,0.6334008543167258
Node_38,Node_4,0.24014561877819307
Node_99,Node_28,0.07586332810866392
Node_32,Node_36,0.12887972191064923
Node_93,Node_37,0.12804583895777244
Node_22,Node_82,0.15190269351229435
Node_9,Node_7,0.13882717264941014
Node_68,Node_64,0.6408747448032146
Node_99,Node_85,0.18188008439914483
Node_33,Node_16,0.3456672833238632
Node_51,Node_70,0.8967884099060118
Node_94,Node_88,0.47396164026287235
Node_9,Node_44,0.6675577385210272
